Year,Cause,BurnTime,Acres
1980,Human,4356,488636.89999999263
1980,Natural,3650,379229.79999999696
1981,Human,7701,992301.4999999867
1981,Natural,6357,946944.8999999897
1982,Human,3951,279838.30000000034
1982,Natural,11909,210568.2000000014
1983,Human,3779,394464.09999999456
1983,Natural,5344,843583.1999999963
1984,Human,4230,523002.39999999554
1984,Natural,5327,991542.2999999952
1985,Human,5399,628371.7999999954
1985,Natural,12592,1967152.500000022
1986,Human,28963,562427.7999999981
1986,Natural,33849,1641684.500000024
1987,Human,42689,1132221.999999983
1987,Natural,61769,1212321.6999999846
1988,Human,46878,2569965.6000001268
1988,Natural,58948,4756447.4999999935
1989,Human,29622,695377.8999999885
1989,Natural,40130,740400.7999999761
1990,Human,37723,978897.3999999933
1990,Natural,44257,3563230.600000135
1991,Human,28486,401290.7499999937
1991,Natural,48317,1935149.3000001155
1992,Human,31559,724966.249999945
1992,Natural,58977,1001549.649999947
1993,Human,26075,512643.30000000144
1993,Natural,26756,1249480.150000012
1994,Human,70749,1362147.299999964
1994,Natural,61268,2115859.5000001388
1995,Human,32108,604279.2999999935
1995,Natural,38133,825241.0999999911
1996,Human,39490,1922529.949999995
1996,Natural,82287,3518657.6000001216
1997,Human,26912,525624.4000000055
1997,Natural,38187,2012181.900000105
1998,Human,31468,653084.0999999852
1998,Natural,50386,554622.6999999887
1999,Human,57425,1800472.8699999808
1999,Natural,70470,3876022.6000000834
2000,Human,41348,1619794.6999999643
2000,Natural,119507,5287211.199999721
2001,Human,62300,1143191.4599999695
2001,Natural,92987,1774119.0500001167
2002,Human,60154,2513911.250000076
2002,Natural,89545,5189552.999999778
2003,Human,46160,2057028.4500000488
2003,Natural,125140,2485044.0800002343
2004,Human,38056,710793.7599999657
2004,Natural,87762,7358368.08999902
2005,Human,54350,1259602.839999966
2005,Natural,92320,10020908.939999402
2006,Human,64942,2194781.5999999745
2006,Natural,138429,5463751.089999649
2007,Human,56769,2606974.8600002103
2007,Natural,113242,7027947.749999633
2008,Human,55557,1260389.6899999531
2008,Natural,105846,2480187.600000213
2009,Human,50558,1482301.5700000175
2009,Natural,98519,5708807.9799995
2010,Human,57265,1169528.9499999639
2010,Natural,74245,3183527.430000075
2011,Human,63156,4410191.190000286
2011,Natural,83647,4010383.030000094
2012,Human,75704,2179381.990000037
2012,Natural,89582,8956737.099999687
2013,Human,68334,972791.3699999573
2013,Natural,96033,3562788.4600000842
2014,Human,74537,1118683.499999958
2014,Natural,86401,2590021.4000000916
2015,Human,52741,1933042.600000043
2015,Natural,117647,11892777.559999723
2016,Human,66183,2051397.3600000227
2016,Natural,54573,1914242.71000003
